TITULO,FECHA_CIERRE,FECHA_CONSTITUCION,FECHA_VENCIMIENTO,FECHA_INICIO_FLUJOS,TIPO_SWAP,SWAP_DERECHO,TIPO_DE_TASA_DERECHO,TASA_FACIAL_DERECHO,SPREAD_DERECHO,PERIODICIDAD_DERECHO,MODALIDAD_DERECHO,INICIO_O_FINAL_DERECHO,MONEDA_DERECHO,NOMINAL_DERECHO,TITULO_DERECHO,SWAP_OBLIGACION,TIPO_DE_TASA_OBLIGACION,TASA_FACIAL_OBLIGACION,SPREAD_OBLIGACION,PERIODICIDAD_OBLIGACION,MODALIDAD_OBLIGACION,INICIO_O_FINAL_OBLIGACION,MONEDA_OBLIGACION,NOMINAL_OBLIGACION,TITULO_OBLIGACION,ID_CONTRAPARTE,CONTRAPARTE,ID_SWAP,CODIGO_EMPRESA,CODIGO_PORTAFOLIO,VALOR_DERECHO_MONEDA,VALOR_DERECHO_PESOS,VALOR_OBLIGACION_MONEDA,VALOR_OBLIGACION_PESOS,UTILIDAD,VALOR_CVA,UTILIDAD_CON_CVA,UTILIDAD_DIA
90142,2013-12-17,2013/12/17,2014/03/17,2013/12/17,Swap sobre Monedas,SW D $ TF 0/0,Tasa Fija,Fija,0.05,Mensual,Vencido,Final,$,1000000000.0,90142,SW O US$ LIB 0/0,Tasa Fija,Fija,0.02,Mensual,Vencido,Final,US$,516491.576,90143,860034313,BANCO DAVIVIENDA S.A.,10,WEB,A3,1004633888.28,1004633888.28,518637.48,1004154770.5272,479117.7528,0.0,479117.7528,
90753,2014-03-21,2014/03/21,2022/03/21,2014/03/21,Swap sobre Monedas,SW D $ TF 0/0,Tasa Fija,Fija,0.0872,Semestral,Vencido,Final,$,34496000000.0,90753,SW O US$ TF 0/0,Tasa Fija,Fija,0.0565,Semestral,Vencido,Final,US$,17301201.1937,90754,860034313,BANCO DAVIVIENDA S.A.,25,WEB,1,23081430003.59,23081430003.59,7500706.85,14955284352.8725,8126145650.7175,0.0,8126145650.7175,
134883,2019-12-02,2019/12/02,2023/09/18,2019/09/18,Swap sobre Monedas,SW D $ TF 0/0,Tasa Fija,Fija,0.0923,Semestral,Vencido,Final,$,1748000000.0,134883,SW O US$ TF 0/0,Tasa Fija,Fija,0.05875,Semestral,Vencido,Final,US$,500000.0,134884,444442029,JP MORGAN CHASE & CO,243,02,SA,2036280108.97,2036280108.97,586214.24,2056668177.4736,-20388068.5036,0.0,-20388068.5036,
134883,2019-12-03,2019/12/02,2023/09/18,2019/09/18,Swap sobre Monedas,SW D $ TF 0/0,Tasa Fija,Fija,0.0923,Semestral,Vencido,Final,$,1748000000.0,134883,SW O US$ TF 0/0,Tasa Fija,Fija,0.05875,Semestral,Vencido,Final,US$,500000.0,134884,444442029,JP MORGAN CHASE & CO,243,02,SA,2039421729.65,2039421729.65,588412.54,2063368601.6418,-23946871.9918,0.0,-23946871.9918,7507524778.339
134883,2019-12-04,2019/12/02,2023/09/18,2019/09/18,Swap sobre Monedas,SW D $ TF 0/0,Tasa Fija,Fija,0.0923,Semestral,Vencido,Final,$,1748000000.0,134883,SW O US$ TF 0/0,Tasa Fija,Fija,0.05875,Semestral,Vencido,Final,US$,500000.0,134884,444442029,JP MORGAN CHASE & CO,243,02,SA,2041998577.02,2041998577.02,586709.66,2040910621.9862,1087955.0338,0.0,1087955.0338,-48321548667.6485
134883,2019-12-05,2019/12/02,2023/09/18,2019/09/18,Swap sobre Monedas,SW D $ TF 0/0,Tasa Fija,Fija,0.0923,Semestral,Vencido,Final,$,1748000000.0,134883,SW O US$ TF 0/0,Tasa Fija,Fija,0.05875,Semestral,Vencido,Final,US$,500000.0,134884,444442029,JP MORGAN CHASE & CO,243,02,SA,2046374819.07,2046374819.07,586933.62,2030772717.1914,15602101.8786,117957.1371,15720059.0157,-22829369422.0387
134883,2019-12-06,2019/12/02,2023/09/18,2019/09/18,Swap sobre Monedas,SW D $ TF 0/0,Tasa Fija,Fija,0.0923,Semestral,Vencido,Final,$,1748000000.0,134883,SW O US$ TF 0/0,Tasa Fija,Fija,0.05875,Semestral,Vencido,Final,US$,500000.0,134884,444442029,JP MORGAN CHASE & CO,243,02,SA,2048722816.71,2048722816.71,586337.56,2011319595.4436,37403221.2664,0.0,37403221.2664,-52621664227.4
134883,2019-12-07,2019/12/02,2023/09/18,2019/09/18,Swap sobre Monedas,SW D $ TF 0/0,Tasa Fija,Fija,0.0923,Semestral,Vencido,Final,$,1748000000.0,134883,SW O US$ TF 0/0,Tasa Fija,Fija,0.05875,Semestral,Vencido,Final,US$,500000.0,134884,444442029,JP MORGAN CHASE & CO,243,02,SA,2049016172.9,2049016172.9,586360.07,2011396811.7217,37619361.1783,0.0,37619361.1783,1006225455.8408
134883,2019-12-08,2019/12/02,2023/09/18,2019/09/18,Swap sobre Monedas,SW D $ TF 0/0,Tasa Fija,Fija,0.0923,Semestral,Vencido,Final,$,1748000000.0,134883,SW O US$ TF 0/0,Tasa Fija,Fija,0.05875,Semestral,Vencido,Final,US$,500000.0,134884,444442029,JP MORGAN CHASE & CO,243,02,SA,2049309529.91,2049309529.91,586382.58,2011474027.9998,37835501.9102,73154.7612,37908656.6714,1006228268.695
134883,2019-12-09,2019/12/02,2023/09/18,2019/09/18,Swap sobre Monedas,SW D $ TF 0/0,Tasa Fija,Fija,0.0923,Semestral,Vencido,Final,$,1748000000.0,134883,SW O US$ TF 0/0,Tasa Fija,Fija,0.05875,Semestral,Vencido,Final,US$,500000.0,134884,444442029,JP MORGAN CHASE & CO,243,02,SA,2049061192.29,2049061192.29,586439.73,2004732488.2104,44328704.0796,43979.987,44372684.0666,-25085527386.2635
